High,High_x,HighMedium,HighMedium_x,Medium,Medium_x,MediumLow,MediumLow_x,Low,Low_x
18403,2013-10-21,14593,2013-01-25,77661,2013-11-11,75592,2013-10-30,87842,2013-04-22
18403,2013-09-30,12872,2013-05-14,90829,2013-04-17,80399,2013-10-04,40416,2013-08-30
27422,2013-04-23,79094,2013-11-21,81774,2013-03-05,76841,2013-11-14,82196,2013-06-27
27422,2013-03-27,77659,2014-02-11,83421,2013-02-26,75607,2013-10-24,91207,2013-07-24
85914,2014-01-30,82686,2013-05-24,83421,2013-02-26,75607,2013-10-24,69032,2013-04-22
89757,2014-02-04,13567,2013-07-31,15202,2013-04-26,49154,2013-10-25,83862,2013-04-16
85914,2014-01-30,87299,2013-04-19,92293,2013-04-23,75646,2013-06-28,81857,2013-07-29
89301,2014-01-29,91611,2013-06-21,43350,2013-10-17,81857,2013-12-10,60628,2013-04-29
89757,2014-01-14,89105,2013-04-15,90110,2013-02-27,11955,2014-02-27,84032,2013-03-13
79915,2013-04-23,37284,2013-07-18,79089,2013-04-23,13356,2013-07-18,50876,2013-07-18
18403,2013-09-30,75819,2013-09-10,82307,2013-08-30,90601,2013-04-02,82598,2013-11-05
91611,2013-08-13,88661,2014-02-12,86979,2013-04-24,90601,2013-04-02,13688,2013-09-12
90386,2013-07-31,80711,2013-11-29,86979,2013-04-24,93422,2013-04-26,92293,2013-07-09
90386,2013-08-02,48267,2013-04-23,45495,2013-04-17,89954,2013-09-26,54148,2013-02-25
85963,2013-08-26,82686,2013-11-14,79094,2013-04-19,77418,2014-01-21,83111,2013-02-19
83976,2013-10-21,45277,2013-11-22,67598,2013-12-31,85631,2013-04-22,83111,2013-02-19
21207,2013-06-26,27422,2013-06-26,85592,2013-08-19,86339,2013-06-10,83111,2013-06-17
83143,2013-07-26,51369,2013-03-27,89641,2013-08-05,79547,2013-10-31,78877,2013-11-19
13567,2014-01-31,13356,2013-06-27,13936,2014-02-18,45495,2014-01-31,13141,2013-03-05
86964,2013-04-24,54148,2013-07-30,21186,2013-11-13,37284,2013-07-18,61815,2013-12-30
18403,2013-03-06,86964,2013-04-24,47941,2013-12-09,79265,2013-05-24,87717,2013-04-25
92293,2013-10-16,52230,2013-05-02,10147,2013-11-26,37161,2013-07-05,60943,2013-07-26
89301,2014-02-04,79089,2013-04-23,65947,2013-08-19,64186,2014-02-12,76614,2013-08-19
88991,2013-06-27,64282,2014-01-30,75154,2013-10-16,11618,2013-05-06,23931,2013-07-05
13567,2014-02-28,81055,2013-02-28,80080,2013-04-30,76712,2013-05-31,43123,2014-02-25
87657,2013-04-30,89757,2013-06-28,53866,2013-12-19,25785,2013-12-19,75607,2013-06-05
27422,2013-02-28,88590,2014-02-20,79411,2014-01-22,14593,2013-04-19,19350,2013-07-26
77661,2013-07-26,21207,2013-09-20,75241,2013-04-19,60599,2013-10-04,85926,2013-05-02
85963,2013-09-27,42200,2013-04-30,88352,2013-07-25,43123,2013-03-04,80711,2013-11-29
83143,2013-08-30,84373,2014-02-07,67598,2014-01-03,22517,2013-06-12,11600,2013-05-24
54148,2013-08-14,76149,2013-06-07,83976,2013-04-02,87137,2013-04-22,59192,2014-02-12
86979,2013-04-24,40416,2014-02-14,21776,2013-05-31,88031,2013-09-30,14593,2013-06-27
85963,2013-07-24,13141,2013-12-06,85459,2013-02-26,75592,2013-06-19,14593,2013-06-27
40416,2013-10-31,88853,2013-04-23,87432,2013-04-30,85348,2013-10-23,91068,2014-01-29
76644,2013-03-20,21207,2013-06-26,83421,2013-02-26,50017,2013-10-24,83976,2013-11-06
83143,2013-06-24,67598,2013-09-24,75825,2013-12-11,45495,2013-06-12,76744,2013-10-30
88991,2013-07-05,13356,2013-08-19,13356,2013-04-15,11618,2013-06-18,87184,2013-09-27
89757,2013-12-18,21207,2013-03-05,22779,2013-05-13,86964,2013-11-25,21371,2013-03-28
87657,2013-05-22,16678,2014-01-22,88991,2013-04-23,78975,2013-04-25,21371,2013-03-28
83976,2013-08-30,91391,2013-03-28,22779,2013-06-10,37584,2013-06-28,91611,2013-07-24
92293,2013-12-12,92293,2013-03-26,90805,2014-01-27,78877,2013-05-08,13936,2013-10-01
92293,2013-04-23,64282,2014-01-30,40416,2013-09-09,82651,2013-12-11,70519,2014-02-28
75646,2013-07-05,76082,2013-11-18,37284,2013-08-20,85058,2013-11-29,21207,2013-08-07
89757,2013-12-18,40125,2013-05-16,84373,2013-12-31,53866,2013-01-03,86979,2013-11-04
18403,2013-08-29,90215,2013-06-18,79547,2013-08-19,76082,2013-10-24,90808,2013-03-28
79094,2013-12-18,23026,2014-01-28,75825,2013-12-11,70519,2013-10-31,52708,2013-02-20
27422,2013-05-31,79915,2013-12-16,76149,2013-04-30,81774,2013-04-23,85072,2013-10-16
21207,2013-11-27,79915,2013-12-16,88991,2013-02-28,78877,2014-01-15,37284,2013-01-07
37284,2013-08-20,10147,2013-04-19,80711,2013-12-02,23887,2013-03-27,37284,2013-01-07
88991,2013-08-07,87299,2013-10-31,45495,2013-12-19,24643,2013-08-07,52708,2013-02-20
27422,2013-07-05,79915,2013-04-23,78975,2013-05-21,10299,2013-05-28,86356,2013-11-26
54148,2013-07-30,77702,2014-02-28,75825,2013-04-19,82598,2013-04-11,46886,2013-04-02
77661,2013-08-14,82686,2013-10-15,21207,2013-09-20,92293,2013-02-28,12052,2013-02-04
75646,2013-06-28,76644,2013-06-10,23501,2013-07-05,92709,2013-12-04,86868,2013-04-19
88991,2013-04-23,18403,2013-01-23,28345,2014-02-12,64390,2014-02-25,52708,2013-11-11
90808,2013-07-29,27422,2013-05-31,80399,2013-09-30,47941,2013-12-09,76614,2014-01-09
90808,2013-07-29,75154,2013-04-24,75489,2013-09-04,34833,2013-03-26,61241,2013-03-06
90386,2013-08-02,69796,2013-01-31,75489,2013-08-22,86964,2013-10-31,50017,2013-11-18
92293,2013-10-16,21207,2013-10-11,79265,2013-10-28,53613,2013-07-29,11674,2013-05-29
76644,2013-04-23,84032,2013-04-30,23887,2013-03-27,53613,2013-07-29,11674,2013-05-29
83976,2013-09-30,18403,2013-07-31,88991,2014-01-30,93422,2014-02-27,24643,2013-03-05
27422,2014-01-30,75034,2014-01-09,91611,2013-01-29,49154,2013-09-26,13928,2014-02-21
79915,2013-12-16,88853,2013-04-23,75646,2013-07-05,24010,2013-09-12,12558,2014-02-28
61241,2013-08-30,88853,2013-04-23,80399,2013-08-19,82686,2014-01-30,85792,2013-07-30
18403,2013-10-21,42585,2014-01-21,68857,2013-11-15,15202,2013-06-28,63765,2013-11-14
92293,2013-10-16,52230,2013-05-02,12490,2013-10-21,23819,2014-01-08,77129,2013-06-20
45277,2013-11-22,79265,2013-10-28,77661,2013-07-26,10147,2013-10-24,76614,2013-08-19
86799,2013-07-12,79265,2013-10-28,91556,2014-01-28,42585,2014-02-14,76614,2013-08-19
83976,2013-08-30,27828,2013-04-25,81655,2013-09-20,89004,2013-10-31,87055,2014-02-21
86799,2013-07-12,27828,2013-04-25,79881,2013-03-28,41355,2013-04-19,84032,2013-05-16
90829,2013-04-17,67598,2013-08-19,41080,2013-04-30,83976,2013-11-06,90805,2014-01-27
79915,2013-03-28,54148,2013-04-15,86979,2013-11-04,41355,2013-04-19,75489,2013-04-23
17478,2013-02-08,75819,2013-08-19,82686,2013-04-30,18403,2013-03-06,82618,2013-07-30
17478,2013-02-08,81774,2013-06-26,93422,2013-04-26,18403,2013-03-06,11404,2013-06-04
91611,2013-09-17,77281,2013-11-22,82298,2013-09-24,82598,2013-11-05,90199,2013-11-12
45277,2014-01-30,52708,2013-04-11,23026,2013-05-31,23026,2013-12-19,85072,2014-02-12
83143,2013-06-24,11618,2013-12-20,93422,2014-01-09,23085,2013-10-15,20626,2013-04-16
90386,2013-07-31,76841,2013-08-12,89301,2013-11-27,34817,2013-04-23,12558,2013-10-18
86158,2013-04-25,65947,2013-11-29,88661,2013-02-22,72726,2014-02-28,43350,2013-10-17
61241,2013-07-23,93422,2013-05-07,21776,2013-11-29,79879,2013-01-30,93159,2013-04-17
76744,2013-11-12,75607,2013-10-24,93159,2013-03-19,79879,2013-01-30,93159,2013-04-17
76744,2013-11-12,76282,2013-04-04,87657,2013-11-05,79089,2014-02-28,87717,2014-02-27
52708,2013-07-30,82196,2013-11-27,82298,2013-12-23,88661,2013-08-16,85914,2013-11-22
85963,2013-07-24,79879,2013-10-31,91392,2013-06-21,64311,2013-07-30,82642,2013-07-24
86158,2013-05-14,25419,2014-02-18,77661,2013-04-18,78975,2013-04-25,12558,2013-09-17
15202,2013-04-26,86964,2013-07-09,19350,2013-04-16,52708,2013-05-31,81774,2013-07-18
13567,2013-06-13,60599,2014-01-29,40416,2014-01-30,20626,2013-03-28,81857,2013-10-25
12872,2013-06-27,37284,2013-06-28,80399,2013-07-31,88031,2013-02-12,85058,2013-11-29
40416,2013-12-31,15202,2013-03-27,12062,2013-12-31,11552,2013-11-06,81655,2014-02-14
17478,2013-02-08,15202,2013-08-07,52337,2013-09-12,13356,2013-05-10,90386,2013-06-27
