High,High_x,HighMedium,HighMedium_x,Medium,Medium_x,MediumLow,MediumLow_x,Low,Low_x
91611,2012-04-27,89393,2012-07-31,76644,2012-10-03,37284,2012-04-17,77462,2012-06-27
91611,2012-05-31,29102,2012-03-29,93422,2012-08-16,93096,2013-01-03,15202,2012-09-06
90547,2012-07-26,21207,2012-04-24,22293,2012-07-30,16432,2012-03-30,44951,2012-03-30
61241,2012-10-22,78877,2012-04-26,79915,2012-06-21,76076,2012-05-11,34032,2012-03-02
90547,2012-08-31,48486,2012-09-26,83976,2012-10-31,28345,2012-03-28,63765,2012-01-19
61241,2012-09-25,53613,2012-04-27,89301,2013-01-31,13141,2012-08-20,49015,2012-07-30
61241,2012-11-26,27422,2012-11-30,77182,2013-01-29,27828,2012-06-29,27828,2012-02-29
90547,2012-03-28,88837,2013-02-28,79265,2012-06-28,14593,2012-11-08,86799,2012-09-25
61241,2012-08-31,28345,2012-05-14,76149,2012-08-23,52230,2012-09-20,40125,2012-06-26
79089,2012-07-17,79915,2012-11-28,79915,2012-04-18,48267,2012-10-18,89533,2012-07-26
78877,2012-05-17,89301,2012-03-30,63765,2012-04-20,49373,2012-04-30,15579,2012-06-28
91611,2012-06-08,47896,2012-06-04,53613,2012-04-27,91883,2013-02-21,27422,2012-05-31
91611,2012-03-30,53613,2012-06-22,48506,2013-02-08,24643,2012-04-05,88352,2012-08-31
90547,2012-09-06,76644,2012-03-08,77668,2012-11-14,69032,2012-05-30,13141,2012-06-13
18403,2012-07-17,76149,2012-07-27,13168,2012-02-14,75489,2012-07-25,82618,2012-01-31
82643,2012-07-24,81138,2012-07-30,13168,2012-02-14,86979,2012-05-24,21207,2012-05-15
61241,2012-07-27,89105,2012-03-28,34817,2012-04-27,81774,2012-03-28,60506,2012-05-10
88031,2012-10-23,88031,2012-08-13,76712,2012-09-27,64390,2012-08-29,27633,2012-03-30
61241,2012-11-26,89179,2012-07-31,48267,2012-05-31,89258,2012-07-23,15069,2012-04-30
76708,2012-07-30,41080,2012-07-11,88352,2012-09-13,91391,2012-06-06,85963,2012-11-13
76708,2012-07-30,15069,2012-05-16,10909,2012-09-17,75489,2012-06-25,89004,2012-10-24
79089,2012-06-27,40416,2012-05-30,88991,2012-07-26,86979,2012-03-14,52337,2012-03-29
89393,2012-06-14,79879,2012-06-14,61399,2012-05-22,86964,2012-09-11,42534,2012-08-03
91937,2012-05-30,58683,2012-04-18,88661,2012-06-28,34833,2012-03-29,43350,2012-07-17
90162,2012-04-27,91556,2012-11-16,81655,2013-02-19,25778,2012-11-29,34032,2012-07-31
90547,2012-06-26,82686,2012-10-31,75241,2012-06-25,85914,2012-08-24,34032,2012-07-31
89757,2012-12-26,85753,2012-10-31,76708,2012-03-30,81138,2012-05-11,90601,2012-06-15
79089,2012-05-15,77659,2012-08-01,90038,2012-05-29,75825,2012-07-02,13168,2012-08-17
90162,2012-05-16,75241,2012-07-10,89757,2012-07-31,11552,2012-06-21,52329,2012-06-25
90547,2012-04-05,78877,2012-05-17,89757,2012-11-30,86799,2013-01-14,75224,2012-11-19
89393,2012-05-31,78877,2012-05-17,87184,2012-10-31,88590,2012-05-09,92655,2012-08-06
78877,2012-05-17,53613,2012-10-24,75489,2012-08-28,88590,2012-05-09,57904,2013-02-13
89393,2012-04-30,81774,2012-03-28,86783,2012-08-13,18403,2013-02-28,79545,2012-06-29
27422,2012-09-06,83699,2012-04-05,48486,2012-08-30,86799,2012-03-14,89301,2012-07-30
82643,2012-07-24,75828,2012-01-19,87717,2012-04-27,79094,2012-06-14,76201,2012-07-17
91068,2012-08-31,81481,2012-12-11,89004,2012-06-29,85348,2012-08-30,38682,2012-04-05
61241,2012-10-22,75034,2012-03-28,93422,2012-08-16,85914,2012-05-21,11618,2012-05-07
81138,2012-10-25,75034,2012-03-28,93422,2012-08-16,79545,2012-06-29,60986,2012-04-11
81138,2012-11-23,27828,2012-03-22,47896,2012-05-21,89301,2012-04-13,27828,2012-06-29
76708,2012-08-03,64311,2012-03-23,77668,2012-11-14,77606,2012-11-30,52329,2012-06-25
88991,2012-03-28,91937,2012-04-27,89105,2012-08-28,10909,2012-08-20,87299,2012-06-05
88031,2012-09-12,88991,2012-09-06,41080,2012-06-22,64311,2012-09-28,85631,2012-10-19
85914,2012-11-21,86158,2012-07-31,18403,2012-05-16,81138,2013-02-28,83976,2012-01-23
18403,2012-11-19,82598,2012-05-25,84032,2012-12-17,52329,2012-04-05,87717,2012-09-25
82643,2012-07-24,59328,2012-11-29,75224,2012-11-19,77702,2012-07-31,83699,2012-05-31
91937,2012-06-26,92293,2012-12-07,88853,2012-05-31,88853,2012-06-25,85459,2012-07-31
81138,2012-11-23,86979,2012-05-24,89105,2012-06-27,60943,2012-02-14,77661,2012-12-11
