High,High_x,HighMedium,HighMedium_x,Medium,Medium_x,MediumLow,MediumLow_x,Low,Low_x
34746,2009-01-30,11552,2009-03-05,45241,2009-07-09,32870,2009-06-22,40539,2009-04-01
66800,2009-02-24,23990,2009-01-30,22103,2009-05-21,10516,2009-10-02,80266,2009-08-06
42906,2009-02-19,68591,2009-01-20,28345,2009-12-11,34817,2009-09-02,61735,2009-08-03
59408,2009-01-20,82643,2009-03-09,75819,2009-05-15,10078,2009-09-25,23536,2009-06-09
42906,2009-01-30,60943,2009-03-09,25778,2009-07-10,10145,2009-09-02,22592,2009-06-23
72726,2009-01-20,48506,2009-06-22,81138,2009-11-13,85753,2009-09-02,77418,2009-11-04
12079,2009-05-29,86580,2009-01-20,41080,2009-06-22,60986,2009-11-02,62148,2009-12-09
66325,2009-02-27,75577,2009-04-28,70033,2009-09-03,87447,2009-02-23,45356,2009-11-02
66800,2009-07-09,78916,2009-01-21,77178,2009-05-13,86725,2009-10-02,11404,2009-06-09
68144,2009-01-30,24643,2009-07-09,75241,2009-02-23,56274,2009-10-14,23026,2009-06-09
70519,2009-01-20,48506,2009-03-06,29102,2009-12-08,82651,2009-01-09,23077,2009-12-17
51706,2009-01-30,12062,2009-01-23,81540,2009-06-24,11754,2009-11-03,85058,2009-12-10
70519,2009-02-27,81655,2009-05-22,75646,2009-10-28,25081,2009-11-04,85631,2009-12-10
57904,2009-01-26,86136,2009-02-23,82651,2009-07-09,25778,2009-05-27,12490,2009-11-02
34746,2009-02-20,86580,2009-07-07,43350,2009-06-23,21792,2009-09-04,79094,2009-11-30
35044,2009-01-30,76619,2009-09-24,28484,2009-03-03,92602,2009-08-28,11955,2009-04-01
60442,2009-01-20,65875,2009-01-30,82618,2009-09-02,43449,2009-03-05,86021,2009-12-01
82775,2009-02-27,77338,2009-03-09,50227,2009-10-30,59192,2009-07-02,65875,2009-06-05
75573,2009-02-26,87842,2009-10-30,60506,2009-10-02,89003,2009-07-08,92709,2009-09-01
89195,2009-02-27,28484,2009-08-17,44601,2009-07-10,86799,2009-04-20,49154,2009-04-01
38703,2009-01-20,76282,2009-08-14,16600,2009-11-30,22509,2009-09-02,76644,2009-11-02
81055,2009-01-30,89258,2009-07-08,90808,2009-10-02,41355,2009-09-02,40125,2009-04-20
84129,2009-01-26,80711,2009-06-24,86356,2009-10-30,75592,2009-04-07,89179,2009-04-01
79129,2009-01-30,36397,2009-10-30,59459,2009-09-23,82598,2009-01-20,90110,2009-09-02
75175,2009-10-28,76619,2009-06-15,70578,2009-03-09,27887,2009-08-06,21207,2009-09-01
66157,2009-01-26,92655,2009-09-30,70308,2009-06-22,24328,2009-11-20,11552,2009-06-15
90162,2009-02-27,61815,2009-03-02,40416,2009-10-30,75819,2009-11-04,24766,2009-11-03
68144,2009-02-19,69032,2009-07-08,63765,2009-10-01,16432,2009-11-04,17144,2009-06-01
91392,2009-02-23,61815,2009-07-08,57665,2009-05-13,82598,2009-09-01,70578,2009-06-16
90352,2009-02-23,23660,2009-03-09,66325,2009-10-02,25013,2009-02-26,21936,2009-08-14
79129,2009-02-23,91143,2009-03-05,20626,2009-12-18,82298,2009-06-22,39642,2009-03-11
79129,2009-03-05,84020,2009-03-09,83699,2009-06-22,14702,2009-07-08,48725,2009-06-22
47941,2009-02-27,90441,2009-07-08,87184,2009-06-22,78975,2009-03-02,78975,2009-11-04
75573,2009-03-09,91063,2009-07-10,11955,2009-07-08,80913,2009-04-27,15560,2009-09-02
49015,2009-02-27,91143,2009-10-30,49656,2009-09-02,85753,2009-12-09,92890,2009-02-11
80711,2009-02-19,60599,2009-03-09,60097,2009-07-09,86979,2009-07-07,14656,2009-04-01
59408,2009-02-20,81655,2009-10-30,19502,2009-05-22,82651,2009-02-27,66800,2009-05-01
47896,2009-01-20,86783,2009-03-11,22752,2009-09-03,69550,2009-10-01,91063,2009-05-01
84129,2009-02-23,57665,2009-06-26,92121,2009-09-02,56274,2009-07-02,15069,2009-11-02
49015,2009-03-09,45495,2009-03-02,77274,2009-04-21,70519,2009-05-01,15579,2009-11-02
81055,2009-02-19,10138,2009-07-08,47896,2009-10-01,75175,2009-04-20,27991,2009-11-02
25099,2009-02-27,75186,2009-02-23,40539,2009-01-30,23887,2009-12-17,54148,2009-11-02
12079,2009-02-20,80266,2009-06-23,79103,2009-09-30,89303,2009-08-05,61241,2009-11-02
38703,2009-02-20,89258,2009-10-28,88661,2009-10-02,57665,2009-08-25,61621,2009-11-02
76638,2009-01-30,59248,2009-11-06,48725,2009-10-27,10324,2009-11-13,90609,2009-12-01
82775,2009-03-06,19350,2009-06-22,37161,2009-01-20,61735,2009-12-14,70033,2009-11-04
51706,2009-02-20,14702,2009-02-19,59010,2009-02-04,19393,2009-12-01,85032,2009-04-20
77129,2009-02-23,88313,2009-03-02,79057,2009-07-08,89003,2009-09-02,88352,2009-11-02
34746,2009-03-06,85753,2009-01-20,92156,2009-07-22,85914,2009-02-02,28484,2009-11-02
47941,2009-03-09,85913,2009-06-23,11404,2009-05-21,91063,2009-10-01,24942,2009-12-03
66157,2009-03-06,38682,2009-07-07,51377,2009-07-08,75510,2009-10-01,18163,2009-07-02
