High,High_x,HighMedium,HighMedium_x,Medium,Medium_x,MediumLow,MediumLow_x,Low,Low_x
89393,2011-11-30,90071,2011-12-30,82196,2011-10-05,69550,2011-10-18,89105,2011-05-12
89393,2011-10-27,44601,2011-08-22,21207,2012-01-24,92293,2012-01-11,15202,2011-06-30
91611,2011-10-25,36397,2011-08-23,10104,2011-12-27,48267,2011-09-30,84788,2011-03-22
89757,2012-01-06,92293,2012-01-11,10104,2011-12-27,37284,2012-01-09,47941,2011-09-21
91611,2011-12-27,25419,2011-11-29,90162,2011-04-29,20626,2011-10-26,47941,2011-09-21
91611,2011-11-22,87299,2011-02-28,76082,2011-10-26,81857,2011-05-31,82598,2011-08-30
89757,2012-01-06,25081,2011-09-08,15202,2011-07-28,40416,2011-09-28,69032,2011-08-23
89393,2011-09-29,82686,2011-08-19,91547,2011-09-28,83699,2011-12-29,23887,2011-10-24
89393,2011-09-29,27828,2011-08-19,90071,2011-11-30,22293,2011-05-23,82651,2011-12-16
89757,2011-12-30,27422,2012-02-29,49015,2011-10-10,16432,2012-02-28,78987,2011-07-14
89393,2011-11-30,35044,2011-08-26,12067,2011-05-03,61815,2011-09-23,78987,2011-07-14
81776,2011-11-29,59408,2011-08-23,85963,2011-05-10,82618,2012-01-31,86580,2011-02-15
91611,2012-02-29,75034,2012-01-24,40125,2011-05-26,63765,2011-12-30,39490,2011-10-13
89757,2011-12-30,80303,2011-10-26,12456,2011-07-08,77668,2011-09-30,25785,2011-03-07
91611,2011-10-25,86979,2012-01-31,87184,2011-12-21,11955,2011-07-29,66384,2011-03-01
54148,2011-08-23,86799,2011-10-26,86580,2011-06-28,85592,2011-08-26,87432,2011-07-28
84342,2011-03-11,79879,2011-03-22,78877,2011-05-17,52337,2011-09-28,79879,2011-06-29
91937,2011-10-31,88991,2011-12-29,88991,2011-09-30,77462,2011-02-02,89105,2011-10-04
83976,2012-01-23,90162,2011-06-28,87657,2011-08-01,12067,2011-04-28,60599,2011-08-04
90547,2012-02-29,53613,2011-06-30,89626,2012-01-11,40272,2011-12-22,59010,2011-05-31
54148,2011-08-23,75186,2011-08-19,75577,2011-09-30,40416,2011-08-12,87657,2011-12-09
76644,2011-10-26,76644,2011-04-27,75510,2011-08-19,81857,2012-02-28,12073,2011-03-23
91611,2011-09-29,89757,2011-11-29,52337,2011-10-03,87657,2011-11-18,42906,2011-08-30
90547,2011-10-21,75489,2011-06-10,83699,2012-02-29,66325,2011-10-25,86799,2011-12-29
79915,2011-10-24,48267,2011-11-28,82307,2011-09-29,80303,2011-08-24,49656,2011-04-25
83862,2012-01-26,85926,2011-08-29,12872,2011-09-29,28388,2011-11-30,30940,2011-06-16
80303,2011-09-28,80711,2011-11-29,69032,2011-04-27,69032,2011-11-29,76282,2011-11-16
90547,2011-09-29,75154,2011-04-26,40416,2011-11-25,90319,2011-04-19,52978,2011-07-21
89393,2011-10-27,79915,2011-09-29,89813,2011-03-24,82307,2011-10-17,85792,2011-11-14
29102,2011-09-30,67467,2011-05-26,84342,2011-07-29,49656,2011-08-31,57904,2011-05-31
83976,2011-11-25,75257,2011-01-31,76644,2011-08-24,77605,2011-02-11,90829,2011-03-22
68857,2011-10-31,79881,2011-03-28,44951,2012-01-20,15069,2011-10-12,45241,2011-10-26
54148,2011-08-23,79881,2011-03-28,83976,2011-02-02,52708,2011-08-23,86725,2011-07-29
54148,2011-08-23,76082,2012-01-20,90162,2011-05-25,52708,2011-08-23,12067,2011-08-30
91937,2011-08-04,77668,2011-10-25,70519,2012-01-25,52708,2011-08-23,36397,2011-07-06
59408,2011-11-29,35044,2011-10-24,82598,2011-09-20,78916,2012-01-24,88668,2011-04-25
84342,2011-08-25,38682,2011-08-22,29102,2011-06-27,23887,2011-03-14,19350,2011-06-30
90110,2011-10-20,16432,2011-09-22,86979,2011-07-28,66325,2011-10-25,77605,2011-10-21
84342,2011-08-25,66384,2011-10-19,88991,2011-12-29,52978,2011-07-21,22103,2012-02-29
84342,2011-01-31,85269,2012-01-09,89757,2011-06-03,75241,2011-10-12,90386,2011-12-15
53613,2011-06-30,84381,2011-09-20,87657,2011-08-01,59408,2011-08-23,13035,2011-11-11
75828,2012-02-29,59408,2011-12-20,75154,2012-02-28,87070,2011-03-31,13035,2011-11-11
91937,2011-08-04,40125,2011-12-29,76076,2011-03-31,59408,2011-06-08,60599,2011-03-07
91611,2012-01-25,57904,2011-05-31,77605,2011-12-27,90547,2011-12-29,34817,2011-05-20
79915,2012-02-28,82307,2011-10-17,75034,2011-09-30,89004,2012-02-29,77661,2011-04-05
83862,2011-11-17,10909,2011-12-15,89105,2011-12-29,85631,2012-01-04,22293,2011-12-21
90110,2011-11-30,90162,2011-07-21,27828,2011-05-19,83862,2011-07-18,76644,2011-01-19
76708,2011-10-27,92293,2011-12-21,90215,2011-12-23,25081,2011-08-23,71175,2012-01-09
90547,2011-10-21,88313,2011-06-28,66800,2011-01-31,58683,2011-03-02,82775,2012-01-26
63765,2012-01-19,67467,2011-05-26,75489,2011-03-31,27633,2011-09-30,49656,2011-06-28
80303,2011-10-26,67467,2011-05-26,69796,2011-03-21,37584,2011-10-26,53866,2012-02-27
86580,2011-04-06,87717,2011-02-28,70519,2011-12-30,59408,2011-10-14,52329,2011-07-28
88991,2012-01-31,27422,2011-09-29,86979,2012-01-31,77605,2012-02-23,78877,2011-10-25
78877,2012-01-19,76149,2011-09-23,85592,2011-08-26,65330,2012-02-28,75224,2011-12-16
83976,2011-11-25,87299,2011-07-28,83421,2011-09-02,89105,2012-01-03,77668,2011-08-25
35044,2011-10-24,10104,2011-12-27,11976,2011-09-06,90199,2011-12-28,23887,2011-11-16
23819,2011-10-21,15202,2011-11-09,54148,2011-02-28,25953,2011-09-23,84032,2011-05-17
86964,2011-03-22,84129,2011-09-30,14702,2011-06-29,11955,2011-07-29,84129,2011-08-23
91937,2011-08-04,43123,2011-10-20,75257,2011-06-09,89757,2011-05-31,82775,2011-11-25
76644,2011-09-28,27828,2011-08-19,93422,2011-10-12,85914,2011-09-13,60628,2011-09-22
90199,2011-09-21,16432,2011-09-22,37584,2011-11-29,79881,2012-01-11,19350,2011-07-22
91611,2011-12-27,86979,2011-06-22,85792,2011-04-27,80711,2011-11-29,80303,2011-10-26
90199,2011-08-30,40125,2011-05-26,22293,2011-07-21,44951,2011-08-25,90601,2012-02-02
61241,2011-10-20,90162,2011-10-25,90880,2011-10-26,91937,2011-10-31,75034,2011-09-30
90547,2011-09-29,86964,2011-04-05,44601,2011-07-28,69032,2011-11-29,87070,2011-06-28
76082,2012-01-20,21207,2012-01-24,93422,2011-09-26,75577,2011-10-20,50017,2011-12-30
34032,2011-08-23,76076,2011-04-27,24643,2012-02-29,27983,2011-03-24,53225,2011-10-31
81776,2011-06-28,23887,2011-03-14,69032,2012-01-17,84342,2011-07-29,82618,2011-07-21
61241,2011-10-20,82196,2011-09-29,43123,2011-09-26,11552,2011-01-31,92121,2011-10-19
83862,2011-10-18,62092,2011-12-28,75186,2011-10-31,51369,2011-04-29,68144,2011-10-21
90162,2011-07-21,29102,2011-08-31,89533,2011-12-22,40125,2011-08-19,47941,2011-05-26
23887,2012-01-30,83435,2011-07-21,52337,2011-05-04,44601,2011-10-26,60871,2011-08-16
23887,2012-02-14,91547,2011-11-29,60506,2011-08-26,40125,2011-02-14,82686,2011-09-20
81776,2011-08-05,85963,2012-01-04,85913,2011-04-14,40125,2011-02-14,10909,2011-10-31
83862,2011-12-27,66800,2011-06-06,25081,2011-03-29,86799,2011-08-09,52329,2011-04-28
59408,2011-12-20,47896,2011-11-29,76644,2011-03-31,25419,2011-09-20,15579,2011-09-01
81776,2011-07-13,54148,2011-03-07,90110,2011-09-22,87070,2011-04-29,40272,2012-01-05
75828,2012-01-19,75034,2012-02-15,85631,2011-07-21,12872,2012-01-09,66384,2011-09-30
93422,2012-01-20,85631,2011-08-19,60986,2011-08-10,81774,2011-03-09,86102,2011-11-30
90547,2012-01-19,79879,2011-12-21,72726,2011-09-19,62092,2011-11-21,59408,2011-09-28
29102,2011-09-30,86964,2011-08-25,69032,2011-07-19,83435,2012-02-22,85631,2011-06-20
88991,2012-02-29,87070,2011-05-26,87070,2011-01-26,76708,2011-12-13,89393,2011-03-09
53613,2011-07-06,58683,2011-08-23,21207,2011-03-16,87184,2011-12-21,23819,2011-08-22
66800,2011-03-31,84788,2012-01-12,83435,2011-07-21,85792,2011-05-04,53866,2011-01-28
27828,2011-09-20,76282,2011-11-16,88313,2011-08-18,77606,2012-02-01,34032,2011-08-23
