High,High_x,HighMedium,HighMedium_x,Medium,Medium_x,MediumLow,MediumLow_x,Low,Low_x
82196,2014-12-08,84788,2014-04-29,89301,2014-12-29,13567,2014-03-14,86799,2014-10-09
29102,2014-12-12,90071,2014-12-22,89533,2014-08-29,90441,2014-08-05,89641,2014-03-07
82196,2014-11-28,88352,2014-05-07,21776,2014-07-30,41355,2014-08-06,68857,2014-08-25
29102,2014-11-28,28345,2014-10-27,78987,2014-10-30,25953,2014-09-30,81655,2014-06-30
93422,2014-11-28,52329,2014-06-30,77418,2014-10-14,89105,2014-09-30,37584,2014-03-19
93422,2014-12-24,75241,2014-09-22,13142,2014-11-11,92778,2014-11-12,84788,2014-12-18
79915,2014-11-28,76644,2014-06-02,91068,2014-04-28,89508,2014-06-18,23819,2014-09-24
23819,2014-12-08,13168,2014-04-28,43123,2014-07-31,90829,2014-11-07,13103,2014-09-30
79915,2014-12-08,79411,2014-05-23,90215,2014-06-09,77418,2014-08-26,89105,2014-07-15
39490,2014-12-08,76082,2014-07-25,90993,2014-03-28,49373,2014-04-28,12872,2014-11-28
23819,2014-11-28,83862,2014-06-05,87717,2014-08-29,79881,2014-07-16,49154,2014-02-24
39490,2014-11-28,75825,2014-11-28,86356,2014-06-10,14542,2014-12-18,45495,2014-05-23
91611,2014-12-24,75489,2014-05-30,91068,2014-04-28,50017,2014-07-30,89508,2014-05-30
82196,2014-11-28,77659,2014-02-11,12490,2014-10-27,90805,2014-11-12,47896,2014-05-16
85914,2014-01-30,90215,2014-04-28,90805,2014-06-26,41355,2014-07-30,89509,2014-09-22
85914,2014-01-30,79915,2014-09-22,75241,2014-08-28,12558,2014-03-19,52695,2014-07-24
61815,2014-12-26,77274,2014-12-23,12872,2014-07-21,44601,2014-09-30,12369,2014-11-05
29102,2014-10-30,52337,2014-04-16,19502,2014-09-02,25081,2014-10-17,76639,2014-03-26
81857,2014-11-28,77274,2014-04-10,22779,2014-08-29,76201,2014-05-16,13168,2014-10-30
61815,2014-11-28,11552,2014-03-31,91611,2014-05-20,85459,2014-03-20,61815,2014-08-22
89757,2014-09-26,50017,2014-07-30,52329,2014-07-31,75154,2014-07-22,85792,2014-12-22
89757,2014-09-26,21207,2014-10-31,75224,2014-10-13,90601,2014-04-15,19350,2014-08-27
91611,2014-11-28,70033,2014-09-30,89004,2014-09-22,68857,2014-09-30,68857,2014-02-21
81857,2014-12-08,40539,2014-06-27,86799,2014-10-09,90829,2014-06-13,52329,2014-04-29
75241,2014-12-11,50017,2014-12-10,91068,2014-04-28,91926,2014-10-13,84129,2014-12-01
89509,2014-11-28,86979,2014-10-24,91068,2014-04-28,88661,2014-01-31,63765,2014-10-30
93159,2014-11-28,77659,2014-01-31,76644,2014-02-25,52337,2014-04-16,24459,2014-10-09
15069,2014-11-28,89509,2014-11-28,76644,2014-02-25,88991,2014-01-30,86356,2014-10-17
13567,2014-03-14,86799,2014-07-28,76841,2014-11-20,12369,2014-10-24,86356,2014-10-17
29102,2014-11-28,16432,2014-10-27,79915,2014-09-22,91611,2014-10-30,75224,2014-06-19
70332,2014-11-28,79881,2014-10-17,24459,2014-10-09,12542,2014-10-30,93002,2014-10-10
81774,2014-12-22,21776,2014-07-30,34032,2014-05-07,59408,2014-05-23,93002,2014-10-10
15069,2014-12-15,70033,2014-07-28,29102,2014-09-22,45277,2014-04-29,75034,2014-09-22
90162,2014-11-10,89533,2014-12-17,91207,2014-11-20,19561,2014-08-06,84381,2014-11-13
78877,2014-12-11,79545,2014-09-30,64311,2014-12-08,19561,2014-03-19,42585,2014-02-14
